# Selection : patch(Inlet)
# Faces  :    118
# Area   :    3.020701e-04
# Time        	sum(phi)
12491         	-1.510351e-03
12492         	-1.510351e-03
12493         	-1.510351e-03
12494         	-1.510351e-03
12495         	-1.510351e-03
12496         	-1.510351e-03
12497         	-1.510351e-03
12498         	-1.510351e-03
12499         	-1.510351e-03
12500         	-1.510351e-03
12501         	-1.510351e-03
12502         	-1.510351e-03
12503         	-1.510351e-03
12504         	-1.510351e-03
12505         	-1.510351e-03
12506         	-1.510351e-03
12507         	-1.510351e-03
12508         	-1.510351e-03
12509         	-1.510351e-03
12510         	-1.510351e-03
12511         	-1.510351e-03
12512         	-1.510351e-03
12513         	-1.510351e-03
12514         	-1.510351e-03
12515         	-1.510351e-03
12516         	-1.510351e-03
12517         	-1.510351e-03
12518         	-1.510351e-03
12519         	-1.510351e-03
12520         	-1.510351e-03
12521         	-1.510351e-03
12522         	-1.510351e-03
12523         	-1.510351e-03
12524         	-1.510351e-03
12525         	-1.510351e-03
12526         	-1.510351e-03
12527         	-1.510351e-03
12528         	-1.510351e-03
12529         	-1.510351e-03
12530         	-1.510351e-03
12531         	-1.510351e-03
12532         	-1.510351e-03
12533         	-1.510351e-03
12534         	-1.510351e-03
12535         	-1.510351e-03
12536         	-1.510351e-03
12537         	-1.510351e-03
12538         	-1.510351e-03
12539         	-1.510351e-03
12540         	-1.510351e-03
12541         	-1.510351e-03
12542         	-1.510351e-03
12543         	-1.510351e-03
12544         	-1.510351e-03
12545         	-1.510351e-03
12546         	-1.510351e-03
12547         	-1.510351e-03
12548         	-1.510351e-03
12549         	-1.510351e-03
12550         	-1.510351e-03
12551         	-1.510351e-03
12552         	-1.510351e-03
12553         	-1.510351e-03
12554         	-1.510351e-03
12555         	-1.510351e-03
12556         	-1.510351e-03
12557         	-1.510351e-03
